task_id,assigned_to,priority,start_time,deadline,completion_time,status,estimated_time,penalty_cost,breach,delay_minutes,time_remaining,risk_level
1,C,Medium,2024-01-03 12:16:00,2024-01-03 14:06:00,2024-01-03 14:30:00,Completed_Late,117,2601,True,24,37,Medium
2,D,Medium,2024-01-27 14:55:00,2024-01-27 17:41:00,2024-01-27 16:50:00,Completed_On_Time,159,3364,False,0,114,Low
3,D,Medium,2024-01-09 13:15:00,2024-01-09 16:04:00,2024-01-09 15:38:00,Completed_On_Time,174,2462,False,0,98,Low
4,B,Low,2024-01-26 14:30:00,2024-01-26 18:07:00,2024-01-26 18:35:00,Completed_Late,227,1712,True,28,67,Low
5,B,High,2024-01-21 10:11:00,2024-01-21 12:13:00,2024-01-21 11:52:00,Completed_On_Time,110,9986,False,0,101,Low
6,E,High,2024-01-18 13:05:00,2024-01-18 14:34:00,2024-01-18 14:09:00,Completed_On_Time,65,9213,False,0,70,Low
7,D,Medium,2024-01-02 12:24:00,2024-01-02 14:24:00,2024-01-02 15:16:00,Completed_Late,125,4907,True,52,40,Medium
8,G,Medium,2024-01-15 12:00:00,2024-01-15 13:30:00,2024-01-15 12:53:00,Completed_On_Time,65,3226,False,0,62,Low
9,B,Medium,2024-01-16 13:39:00,2024-01-16 16:01:00,2024-01-16 16:53:00,Completed_Late,121,2679,True,52,76,Low
10,B,Low,2024-01-22 14:05:00,2024-01-22 17:39:00,2024-01-22 18:23:00,Completed_Late,228,765,True,44,78,Low
11,G,Medium,2024-01-13 14:27:00,2024-01-13 16:46:00,2024-01-13 15:42:00,Completed_On_Time,122,2559,False,0,55,Low
12,A,Low,2024-01-26 17:18:00,2024-01-26 20:49:00,2024-01-26 22:11:00,Completed_Late,207,525,True,82,34,Medium
13,F,Low,2024-01-25 12:14:00,2024-01-25 16:07:00,2024-01-25 15:54:00,Completed_On_Time,229,1094,False,0,54,Low
14,D,High,2024-01-07 13:31:00,2024-01-07 14:40:00,2024-01-07 14:07:00,Completed_On_Time,52,9222,False,0,21,Medium
15,F,Low,2024-01-26 17:59:00,2024-01-26 21:21:00,2024-01-26 21:58:00,Completed_Late,204,1394,True,37,120,Low
16,G,Medium,2024-01-28 11:18:00,2024-01-28 12:11:00,2024-01-28 12:11:00,Completed_On_Time,69,2648,False,0,40,Medium
17,D,Medium,2024-01-24 17:57:00,2024-01-24 20:28:00,2024-01-24 20:55:00,Completed_Late,167,2440,True,27,116,Low
18,F,Medium,2024-01-17 12:20:00,2024-01-17 14:00:00,2024-01-17 13:21:00,Completed_On_Time,100,3968,False,0,84,Low
19,A,High,2024-01-04 17:43:00,2024-01-04 19:49:00,2024-01-04 18:52:00,Completed_On_Time,102,6502,False,0,97,Low
20,F,Low,2024-01-27 13:51:00,2024-01-27 17:53:00,2024-01-27 18:40:00,Completed_Late,213,994,True,47,59,Low
21,G,Low,2024-01-02 17:13:00,2024-01-02 20:37:00,2024-01-02 19:22:00,Completed_On_Time,190,1152,False,0,96,Low
22,C,Low,2024-01-18 09:53:00,2024-01-18 11:20:00,2024-01-18 11:08:00,Completed_On_Time,96,571,False,0,55,Low
23,D,Medium,2024-01-19 14:51:00,2024-01-19 17:09:00,2024-01-19 17:40:00,Completed_Late,144,3411,True,31,115,Low
24,E,Low,2024-01-13 12:10:00,2024-01-13 16:27:00,2024-01-13 14:45:00,Completed_On_Time,240,1050,False,0,162,Low
25,G,High,2024-01-12 15:46:00,2024-01-12 16:24:00,2024-01-12 16:08:00,Completed_On_Time,31,9480,False,0,38,Medium
26,D,Medium,2024-01-14 12:06:00,2024-01-14 13:40:00,2024-01-14 14:29:00,Completed_Late,112,4080,True,49,84,Low
27,G,Medium,2024-01-22 16:10:00,2024-01-22 18:59:00,2024-01-22 19:04:00,Completed_Late,164,2409,True,5,83,Low
28,D,Medium,2024-01-10 14:19:00,2024-01-10 15:14:00,2024-01-10 15:08:00,Completed_On_Time,60,4790,False,0,26,Medium
29,G,Medium,2024-01-07 10:22:00,2024-01-07 11:15:00,2024-01-07 12:37:00,Completed_Late,73,4116,True,82,1,High
30,A,Medium,2024-01-23 09:27:00,2024-01-23 12:20:00,2024-01-23 11:02:00,Completed_On_Time,153,4650,False,0,32,Medium
31,D,Medium,2024-01-16 17:39:00,2024-01-16 20:44:00,2024-01-16 19:56:00,Completed_On_Time,174,2951,False,0,80,Low
32,A,High,2024-01-24 11:56:00,2024-01-24 13:38:00,2024-01-24 13:10:00,Completed_On_Time,118,5295,False,0,42,Medium
33,A,Medium,2024-01-02 09:25:00,2024-01-02 12:17:00,2024-01-02 11:54:00,Completed_On_Time,178,3247,False,0,45,Low
34,D,Low,2024-01-16 09:22:00,2024-01-16 11:56:00,2024-01-16 12:26:00,Completed_Late,142,1603,True,30,12,High
35,B,Low,2024-01-04 09:05:00,2024-01-04 12:07:00,2024-01-04 13:27:00,Completed_Late,196,1690,True,80,93,Low
36,B,Medium,2024-01-31 15:03:00,2024-01-31 16:36:00,2024-01-31 16:05:00,Completed_On_Time,75,4283,False,0,77,Low
37,F,Medium,2024-01-12 12:48:00,2024-01-12 14:24:00,2024-01-12 15:09:00,Completed_Late,113,4821,True,45,85,Low
38,C,Medium,2024-01-02 12:08:00,2024-01-02 13:50:00,2024-01-02 14:54:00,Completed_Late,121,3202,True,64,8,High
39,F,Low,2024-01-25 15:55:00,2024-01-25 19:36:00,2024-01-25 19:33:00,Completed_On_Time,236,1453,False,0,33,Medium
40,D,Medium,2024-01-03 09:41:00,2024-01-03 12:06:00,2024-01-03 11:49:00,Completed_On_Time,164,4104,False,0,54,Low
41,G,High,2024-01-09 09:48:00,2024-01-09 11:21:00,2024-01-09 12:20:00,Completed_Late,94,9798,True,59,10,High
42,D,Low,2024-01-29 12:31:00,2024-01-29 15:43:00,2024-01-29 15:41:00,Completed_On_Time,205,1609,False,0,0,High
43,A,Medium,2024-01-07 11:53:00,2024-01-07 13:12:00,2024-01-07 13:00:00,Completed_On_Time,93,4257,False,0,39,Medium
44,C,High,2024-01-11 09:33:00,2024-01-11 10:08:00,2024-01-11 09:55:00,Completed_On_Time,33,5343,False,0,28,Medium
45,E,Medium,2024-01-08 17:22:00,2024-01-08 18:54:00,2024-01-08 18:24:00,Completed_On_Time,63,2890,False,0,51,Low
46,C,High,2024-01-04 11:24:00,2024-01-04 13:11:00,2024-01-04 12:36:00,Completed_On_Time,111,7679,False,0,50,Low
47,E,Medium,2024-01-11 16:28:00,2024-01-11 17:18:00,2024-01-11 17:11:00,Completed_On_Time,63,2724,False,0,41,Medium
48,G,High,2024-01-17 12:27:00,2024-01-17 14:27:00,2024-01-17 14:01:00,Completed_On_Time,119,6534,False,0,108,Low
49,C,Medium,2024-01-18 17:14:00,2024-01-18 19:34:00,2024-01-18 20:56:00,Completed_Late,125,3518,True,82,21,Medium
50,B,High,2024-01-24 14:21:00,2024-01-24 16:15:00,2024-01-24 15:19:00,Completed_On_Time,86,6518,False,0,75,Low
51,F,Medium,2024-01-23 14:07:00,2024-01-23 16:08:00,2024-01-23 15:57:00,Completed_On_Time,137,4190,False,0,10,High
52,A,Medium,2024-01-13 09:57:00,2024-01-13 12:41:00,2024-01-13 13:09:00,Completed_Late,148,3897,True,28,29,Medium
53,E,Low,2024-01-21 09:45:00,2024-01-21 13:34:00,2024-01-21 12:31:00,Completed_On_Time,211,1252,False,0,219,Low
54,C,Low,2024-01-19 13:18:00,2024-01-19 15:09:00,2024-01-19 15:17:00,Completed_Late,130,1441,True,8,53,Low
55,G,Low,2024-01-08 14:40:00,2024-01-08 17:21:00,2024-01-08 17:30:00,Completed_Late,151,611,True,9,30,Medium
56,G,Medium,2024-01-12 16:32:00,2024-01-12 17:36:00,2024-01-12 17:25:00,Completed_On_Time,74,4249,False,0,44,Medium
57,B,Low,2024-01-24 16:27:00,2024-01-24 18:18:00,2024-01-24 17:54:00,Completed_On_Time,120,694,False,0,93,Low
58,D,Low,2024-01-27 09:08:00,2024-01-27 11:53:00,2024-01-27 12:53:00,Completed_Late,143,1199,True,60,121,Low
59,E,Medium,2024-01-02 15:53:00,2024-01-02 16:50:00,2024-01-02 18:12:00,Completed_Late,64,4152,True,82,56,Low
60,C,Medium,2024-01-29 14:23:00,2024-01-29 16:56:00,2024-01-29 15:55:00,Completed_On_Time,123,3657,False,0,60,Low
61,D,Low,2024-01-14 10:51:00,2024-01-14 13:17:00,2024-01-14 14:07:00,Completed_Late,129,970,True,50,50,Low
62,F,High,2024-01-02 09:32:00,2024-01-02 10:45:00,2024-01-02 10:12:00,Completed_On_Time,56,5028,False,0,62,Low
63,G,Low,2024-01-24 14:34:00,2024-01-24 18:10:00,2024-01-24 17:05:00,Completed_On_Time,199,1521,False,0,70,Low
64,D,Medium,2024-01-31 12:54:00,2024-01-31 15:33:00,2024-01-31 16:00:00,Completed_Late,176,4021,True,27,150,Low
65,G,Low,2024-01-09 15:01:00,2024-01-09 16:39:00,2024-01-09 16:15:00,Completed_On_Time,99,1237,False,0,6,High
66,A,High,2024-01-11 12:03:00,2024-01-11 13:16:00,2024-01-11 12:52:00,Completed_On_Time,60,9818,False,0,44,Medium
67,G,Medium,2024-01-11 09:08:00,2024-01-11 11:06:00,2024-01-11 10:55:00,Completed_On_Time,135,3123,False,0,-5,High
68,G,High,2024-01-01 17:31:00,2024-01-01 18:09:00,2024-01-01 17:53:00,Completed_On_Time,38,7244,False,0,3,High
69,B,Low,2024-01-02 16:18:00,2024-01-02 19:05:00,2024-01-02 19:13:00,Completed_Late,154,1403,True,8,75,Low
70,C,Low,2024-01-31 12:40:00,2024-01-31 16:24:00,2024-01-31 17:37:00,Completed_Late,216,1351,True,73,94,Low
71,F,Low,2024-01-16 12:11:00,2024-01-16 15:24:00,2024-01-16 15:00:00,Completed_On_Time,201,1611,False,0,175,Low
72,D,High,2024-01-25 13:17:00,2024-01-25 14:22:00,2024-01-25 15:09:00,Completed_Late,39,6608,True,47,39,Medium
73,A,High,2024-01-23 17:39:00,2024-01-23 19:11:00,2024-01-23 20:24:00,Completed_Late,79,9391,True,73,57,Low
74,E,Low,2024-01-31 10:05:00,2024-01-31 13:25:00,2024-01-31 12:47:00,Completed_On_Time,210,1760,False,0,29,Medium
75,B,Low,2024-01-04 09:50:00,2024-01-04 12:38:00,2024-01-04 11:46:00,Completed_On_Time,144,897,False,0,147,Low
76,C,Medium,2024-01-28 10:27:00,2024-01-28 13:12:00,2024-01-28 12:55:00,Completed_On_Time,150,2725,False,0,144,Low
77,D,Medium,2024-01-04 14:41:00,2024-01-04 15:54:00,2024-01-04 15:46:00,Completed_On_Time,66,3146,False,0,7,High
78,B,High,2024-01-13 16:41:00,2024-01-13 18:20:00,2024-01-13 17:24:00,Completed_On_Time,70,6346,False,0,71,Low
79,F,Low,2024-01-24 11:31:00,2024-01-24 15:04:00,2024-01-24 14:04:00,Completed_On_Time,221,1741,False,0,80,Low
80,G,High,2024-01-06 17:43:00,2024-01-06 19:32:00,2024-01-06 19:20:00,Completed_On_Time,105,8312,False,0,59,Low
81,B,Medium,2024-01-06 15:33:00,2024-01-06 16:25:00,2024-01-06 17:12:00,Completed_Late,60,4876,True,47,-2,High
82,B,High,2024-01-13 12:02:00,2024-01-13 12:48:00,2024-01-13 12:43:00,Completed_On_Time,44,7737,False,0,6,High
83,D,Low,2024-01-13 17:46:00,2024-01-13 19:41:00,2024-01-13 18:55:00,Completed_On_Time,95,1203,False,0,77,Low
84,F,Medium,2024-01-09 13:09:00,2024-01-09 15:14:00,2024-01-09 15:55:00,Completed_Late,123,4433,True,41,111,Low
85,A,Medium,2024-01-03 09:54:00,2024-01-03 12:50:00,2024-01-03 11:47:00,Completed_On_Time,158,4129,False,0,56,Low
86,C,Medium,2024-01-17 12:17:00,2024-01-17 15:17:00,2024-01-17 15:42:00,Completed_Late,172,2409,True,25,74,Low
87,B,High,2024-01-23 15:22:00,2024-01-23 16:00:00,2024-01-23 15:51:00,Completed_On_Time,49,5445,False,0,-1,High
88,B,Medium,2024-01-26 09:35:00,2024-01-26 12:14:00,2024-01-26 12:49:00,Completed_Late,168,2278,True,35,16,Medium
89,C,High,2024-01-04 15:38:00,2024-01-04 16:31:00,2024-01-04 17:47:00,Completed_Late,50,5135,True,76,33,Medium
90,B,High,2024-01-23 10:39:00,2024-01-23 11:13:00,2024-01-23 11:14:00,Completed_Late,42,8608,True,1,-1,High
91,B,Medium,2024-01-31 10:07:00,2024-01-31 12:33:00,2024-01-31 12:23:00,Completed_On_Time,165,4163,False,0,-18,High
92,D,Medium,2024-01-21 17:45:00,2024-01-21 19:58:00,2024-01-21 19:13:00,Completed_On_Time,128,4747,False,0,41,Medium
93,E,Low,2024-01-24 16:32:00,2024-01-24 18:36:00,2024-01-24 17:55:00,Completed_On_Time,103,1339,False,0,45,Low
94,B,High,2024-01-10 17:54:00,2024-01-10 18:57:00,2024-01-10 18:40:00,Completed_On_Time,58,9038,False,0,11,High
95,E,High,2024-01-18 12:26:00,2024-01-18 14:15:00,2024-01-18 13:58:00,Completed_On_Time,116,7263,False,0,67,Low
96,F,High,2024-01-13 15:08:00,2024-01-13 15:52:00,2024-01-13 15:42:00,Completed_On_Time,57,7943,False,0,11,High
97,D,Medium,2024-01-16 10:39:00,2024-01-16 13:14:00,2024-01-16 12:23:00,Completed_On_Time,147,2628,False,0,75,Low
98,C,Low,2024-01-18 09:36:00,2024-01-18 12:58:00,2024-01-18 13:48:00,Completed_Late,201,899,True,50,41,Medium
99,F,Low,2024-01-13 14:36:00,2024-01-13 18:18:00,2024-01-13 18:30:00,Completed_Late,219,1824,True,12,158,Low
100,D,Medium,2024-01-10 17:02:00,2024-01-10 19:23:00,2024-01-10 18:36:00,Completed_On_Time,128,4113,False,0,109,Low
101,C,Medium,2024-01-23 14:08:00,2024-01-23 15:36:00,2024-01-23 16:43:00,Completed_Late,85,2764,True,67,44,Medium
102,F,Medium,2024-01-18 09:38:00,2024-01-18 12:12:00,2024-01-18 12:56:00,Completed_Late,124,3382,True,44,123,Low
103,E,High,2024-01-13 12:21:00,2024-01-13 13:03:00,2024-01-13 14:15:00,Completed_Late,34,7775,True,72,39,Medium
104,D,Medium,2024-01-24 12:47:00,2024-01-24 13:51:00,2024-01-24 13:45:00,Completed_On_Time,64,4665,False,0,11,High
105,B,Medium,2024-01-24 14:46:00,2024-01-24 16:13:00,2024-01-24 15:45:00,Completed_On_Time,70,2821,False,0,73,Low
106,A,Medium,2024-01-17 10:15:00,2024-01-17 12:07:00,2024-01-17 11:36:00,Completed_On_Time,103,3012,False,0,52,Low
107,D,High,2024-01-21 15:44:00,2024-01-21 17:49:00,2024-01-21 17:28:00,Completed_On_Time,109,7866,False,0,116,Low
108,E,High,2024-01-06 17:22:00,2024-01-06 18:50:00,2024-01-06 20:03:00,Completed_Late,80,7991,True,73,12,High
109,A,Low,2024-01-02 12:58:00,2024-01-02 16:20:00,2024-01-02 15:02:00,Completed_On_Time,199,1627,False,0,35,Medium
110,F,Medium,2024-01-05 10:48:00,2024-01-05 12:33:00,2024-01-05 12:47:00,Completed_Late,80,3544,True,14,38,Medium
111,E,High,2024-01-20 09:28:00,2024-01-20 09:46:00,2024-01-20 10:48:00,Completed_Late,34,7472,True,62,-5,High
112,B,High,2024-01-08 12:56:00,2024-01-08 14:37:00,2024-01-08 13:46:00,Completed_On_Time,79,5474,False,0,22,Medium
113,E,High,2024-01-19 17:17:00,2024-01-19 18:51:00,2024-01-19 18:45:00,Completed_On_Time,104,7363,False,0,84,Low
114,A,Medium,2024-01-30 12:59:00,2024-01-30 16:19:00,2024-01-30 14:58:00,Completed_On_Time,170,3082,False,0,148,Low
115,E,High,2024-01-24 10:10:00,2024-01-24 11:20:00,2024-01-24 10:44:00,Completed_On_Time,52,8073,False,0,27,Medium
116,G,Low,2024-01-23 14:26:00,2024-01-23 17:59:00,2024-01-23 17:11:00,Completed_On_Time,231,1586,False,0,56,Low
117,C,Low,2024-01-17 16:06:00,2024-01-17 19:00:00,2024-01-17 20:01:00,Completed_Late,164,1625,True,61,31,Medium
118,C,Medium,2024-01-02 11:48:00,2024-01-02 14:52:00,2024-01-02 13:50:00,Completed_On_Time,158,2488,False,0,82,Low
119,D,High,2024-01-10 14:00:00,2024-01-10 15:33:00,2024-01-10 14:48:00,Completed_On_Time,69,7941,False,0,70,Low
120,D,Low,2024-01-27 11:18:00,2024-01-27 13:27:00,2024-01-27 13:08:00,Completed_On_Time,114,1649,False,0,54,Low
121,D,Medium,2024-01-13 13:08:00,2024-01-13 15:49:00,2024-01-13 14:53:00,Completed_On_Time,134,2007,False,0,82,Low
122,G,Medium,2024-01-23 09:15:00,2024-01-23 12:15:00,2024-01-23 12:31:00,Completed_Late,167,3748,True,16,14,High
123,C,Low,2024-01-30 14:13:00,2024-01-30 16:27:00,2024-01-30 15:40:00,Completed_On_Time,126,1237,False,0,104,Low
124,C,Medium,2024-01-04 13:05:00,2024-01-04 14:38:00,2024-01-04 14:01:00,Completed_On_Time,63,4372,False,0,46,Low
125,E,Low,2024-01-04 09:49:00,2024-01-04 12:41:00,2024-01-04 11:50:00,Completed_On_Time,155,1293,False,0,143,Low
126,A,Low,2024-01-27 14:25:00,2024-01-27 17:58:00,2024-01-27 17:45:00,Completed_On_Time,221,1123,False,0,52,Low
127,C,Low,2024-01-30 11:13:00,2024-01-30 14:29:00,2024-01-30 15:36:00,Completed_Late,207,1082,True,67,147,Low
128,F,Low,2024-01-21 13:04:00,2024-01-21 16:17:00,2024-01-21 16:47:00,Completed_Late,180,1742,True,30,93,Low
