priority,estimated_time,time_remaining,assigned_to,breach,penalty_cost,priority_score,time_used,time_ratio,completion_percentage,urgency_score,risk_score,tight_deadline,very_tight,predicted_breach,probability,SLA_Status,reassigned_to,automation_action,escalation_tier,had_pool_capacity,previous_assignee,financial_exposure_ev,prevention_value_estimate,cost_leakage_flag,AI_MultiAgent,AI_Insight
Low,188,40,G,0,1688,1,148,0.21164021164021163,78.3068783068783,4.511816662687992,0.7883597883597884,0,0,1,0.5161386867943989,AT_RISK,D,MONITOR,T0,True,G,871.2421033089454,0.0,1,"{""reason"": ""Breach risk near 52% with priority Low and 40 units of time left; penalty exposure reference $1688. Automation state: MONITOR."", ""action"": ""1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored."", ""escalation"": ""Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."", ""mode"": ""heuristic""}","[Reason] Breach risk near 52% with priority Low and 40 units of time left; penalty exposure reference $1688. Automation state: MONITOR.
[Action] 1) Reassign to lowest-load qualified owner. 2) Trim non-critical scope to protect committed SLA. 3) Daily checkpoint until buffer is restored.
[Escalation] Notify operations lead within 2 hours if probability stays above 70%. Executive escalation only if capacity cannot be freed same business day."
High,69,90,G,0,8604,3,-21,1.2857142857142858,-30.0,2.315325248070562,-0.8571428571428574,0,0,0,0.11189704814744121,SAFE,G,MONITOR,T0,True,,962.7622022605842,0.0,0,,
High,81,54,G,0,9275,3,27,0.6585365853658537,32.926829268292686,4.487413352790952,1.024390243902439,0,0,0,0.43860105554452966,SAFE,G,MONITOR,T0,True,,4068.0247901755124,0.0,0,,
High,134,118,G,0,7591,3,16,0.8740740740740741,11.851851851851853,3.3933808127356513,0.37777777777777766,0,0,0,0.3565632225012477,SAFE,G,MONITOR,T0,True,,2706.6714220069716,0.0,0,,
Medium,115,39,C,0,4488,2,76,0.33620689655172414,65.51724137931035,5.776892430278885,1.3275862068965516,0,0,0,0.46493059186536406,SAFE,C,MONITOR,T0,True,,2086.608496291754,0.0,0,,
Medium,126,116,D,0,3855,2,10,0.9133858267716536,7.874015748031496,2.165941843608766,0.17322834645669283,0,0,0,0.3958645972215299,SAFE,D,MONITOR,T0,True,,1526.0580222889978,0.0,0,,
High,93,117,B,0,7291,3,-24,1.2446808510638299,-25.53191489361702,2.3910462947261317,-0.7340425531914896,0,0,0,0.30974323144214355,SAFE,B,MONITOR,T0,True,,2258.337900444669,0.0,0,,
Low,181,77,G,0,1441,1,104,0.4230769230769231,57.14285714285714,2.3090586145648313,0.5769230769230769,0,0,0,0.49363971760279224,SAFE,G,MONITOR,T0,True,,711.3348330656236,0.0,0,,
Medium,120,100,E,0,3558,2,20,0.8264462809917356,16.528925619834713,2.3910680762770475,0.3471074380165289,0,0,0,0.4779334451008738,SAFE,E,MONITOR,T0,True,,1700.487197668909,0.0,0,,
High,128,73,C,0,8723,3,55,0.5658914728682171,42.63565891472868,5.2093148472203525,1.302325581395349,0,0,0,0.45696797213616897,SAFE,C,MONITOR,T0,True,,3986.131620943802,0.0,0,,
Medium,129,22,C,0,4907,2,107,0.16923076923076924,82.3076923076923,11.1587982832618,1.6615384615384614,0,0,0,0.4821188191887043,SAFE,C,MONITOR,T0,True,,2365.7570457589723,0.0,0,,
Low,177,57,G,0,971,1,120,0.3202247191011236,67.41573033707866,3.0282408982647158,0.6797752808988764,0,0,0,0.40952052858896654,SAFE,G,MONITOR,T0,True,,397.6444332598865,0.0,0,,
Medium,83,113,G,0,3683,2,-30,1.3452380952380953,-35.714285714285715,1.4757554462403373,-0.6904761904761907,0,0,0,0.13772114741447916,SAFE,G,MONITOR,T0,True,,507.22698592752675,0.0,0,,
Low,126,38,D,0,1046,1,88,0.2992125984251969,69.29133858267717,3.2340208810797044,0.7007874015748031,0,0,0,0.487761272536479,SAFE,D,MONITOR,T0,True,,510.198291073157,0.0,0,,
