priority,estimated_time,time_remaining,assigned_to,breach,penalty_cost,priority_score,time_used,time_ratio,completion_percentage,urgency_score,risk_score,tight_deadline,very_tight,overwork,predicted_breach,probability,SLA_Status,AI_Insight
Low,188,40,G,0,1688,1,148,0.21164021164021163,78.3068783068783,4.511816662687992,0.7883597883597884,0,0,0,1,0.488666951539694,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,69,90,G,0,8604,3,-21,1.2857142857142858,-30.0,2.315325248070562,-0.8571428571428574,0,0,0,0,0.20900435421736727,✅ SLA SAFE,
High,81,54,G,0,9275,3,27,0.6585365853658537,32.926829268292686,4.487413352790952,1.024390243902439,0,0,0,1,0.4821957718774914,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,134,118,G,0,7591,3,16,0.8740740740740741,11.851851851851853,3.3933808127356513,0.37777777777777766,0,0,0,1,0.42615629237357294,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,115,39,C,0,4488,2,76,0.33620689655172414,65.51724137931035,5.776892430278885,1.3275862068965516,0,0,0,1,0.45844252191918033,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,126,116,D,0,3855,2,10,0.9133858267716536,7.874015748031496,2.165941843608766,0.17322834645669283,0,0,0,1,0.4492370566835631,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,93,117,B,0,7291,3,-24,1.2446808510638299,-25.53191489361702,2.3910462947261317,-0.7340425531914896,0,0,0,0,0.3356285374635064,✅ SLA SAFE,
Low,181,77,G,0,1441,1,104,0.4230769230769231,57.14285714285714,2.3090586145648313,0.5769230769230769,0,0,0,1,0.47480521795403624,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,120,100,E,0,3558,2,20,0.8264462809917356,16.528925619834713,2.3910680762770475,0.3471074380165289,0,0,0,1,0.4678591216580953,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,128,73,C,0,8723,3,55,0.5658914728682171,42.63565891472868,5.2093148472203525,1.302325581395349,0,0,0,1,0.47220113744468095,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,129,22,C,0,4907,2,107,0.16923076923076924,82.3076923076923,11.1587982832618,1.6615384615384614,0,0,0,1,0.4802889864138399,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Low,177,57,G,0,971,1,120,0.3202247191011236,67.41573033707866,3.0282408982647158,0.6797752808988764,0,0,0,1,0.46034843443663265,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,83,113,G,0,3683,2,-30,1.3452380952380953,-35.714285714285715,1.4757554462403373,-0.6904761904761907,0,0,0,0,0.2719316038587329,✅ SLA SAFE,
Low,126,38,D,0,1046,1,88,0.2992125984251969,69.29133858267717,3.2340208810797044,0.7007874015748031,0,0,0,1,0.49034452033593623,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,120,110,B,0,7461,3,10,0.9090909090909091,8.264462809917356,3.264094955489614,0.2727272727272728,0,0,0,1,0.4730440332991931,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,60,120,E,0,9768,3,-60,1.9672131147540983,-98.36065573770492,1.517287123787414,-2.901639344262295,0,0,0,1,0.5161169009998021,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,95,108,C,0,4959,2,-13,1.125,-13.541666666666666,1.7621145374449338,-0.25,0,0,0,1,0.45667297762083287,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
High,130,43,A,0,8534,3,87,0.3282442748091603,66.41221374045801,8.86932972241029,2.015267175572519,0,0,0,1,0.42678875726275217,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,101,11,D,1,4014,2,90,0.10784313725490197,88.23529411764706,16.97171381031614,1.784313725490196,1,0,0,1,0.4445311202396108,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
Medium,126,13,G,1,4917,2,113,0.10236220472440945,88.9763779527559,17.79957953749124,1.795275590551181,1,0,0,1,0.48258675352204755,⚠️ SLA UNSAFE,"Error generating insight: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-or-v1*************************************************************7dcb. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
